Criterion,Score 10,Score 9,Score 8,Score 7,Score 6,Score 5,Score 4,Score 1-3
Sponsor Financial,Rating A+/A,Rating BBB+,Rating BB+,Rating BB,Rating B,Limited capacity,Very limited,Insolvency
Sponsor Experience,10+ major projects,5-10 projects,2-4 projects,1-2 projects,Few projects,Minimal,Very limited,None
Project Structure,Clear SPV + agreements,Well defined,Good clarity,Acceptable,Some ambiguity,Unclear,Very unclear,Undefined
EPC Contractor,Multinational (Bechtel/Siemens),Major regional,Established local,Qualified local,Limited experience,Unknown,Untested,Failed history
O&M Operator,Multinational 15+ yrs,Specialist 10+ yrs,Qualified 5-10 yrs,Limited,Minimal,None,Unknown,Insolvency
Offtaker Rating,Investment Grade (A+),BBB+,BBB,BB+,BB,B,CCC,Default/Insolvency
PPA Duration,25+ years,20-25 years,15-20 years,12-15 years,8-12 years,< 8 years,Very short,None
Take-or-Pay,100%,80-95%,60-80%,50-60%,40-50%,< 40%,Minimal,None
DSCR,≥ 1.40x,1.30-1.40x,1.25-1.30x,1.20-1.25x,1.15-1.20x,1.10-1.15x,1.05-1.10x,< 1.05x
Market Growth,+3%+ CAGR,+2-3%,+1-2%,0-1%,Flat,Decline -1%,Decline -2%,Decline >3%
Regulatory Stability,Very stable 15+ yrs,Stable with minor risks,Acceptable,Modestly volatile,Uncertain,Weak,Very weak,Extreme instability
Environmental Impact,Positive (green energy),Minor impact managed,Low impact managed,Moderate impact,Unmanaged impact,High unmanaged,Very high risk,Non-compliant
