BLOC,CATÉGORIE,ÉLÉMENT,DESCRIPTION,SPÉCIFICATION,STATUT,TYPE_CHANGEMENT,NOTES,COMPLÉTION_%,DATE_COMPLÉTION
SYSTÈME & ARCHITECTURE,Framework,Next.js 15,Framework web avec App Router,Next.js 15 + App Router,INTÉGRÉ,,Déploiement Vercel configuré,100%,2026-04-02
SYSTÈME & ARCHITECTURE,Framework,TypeScript Strict,Mode strict enforced,TypeScript strict mode,INTÉGRÉ,,Configuration ESLint validée,100%,2026-04-02
SYSTÈME & ARCHITECTURE,Styling,TailwindCSS + shadcn/ui,Thème sombre avec composants UI,TailwindCSS + shadcn/ui avec slate-950/cyan-600,INTÉGRÉ,,Thème sombre complètement implémenté,100%,2026-04-02
SYSTÈME & ARCHITECTURE,ORM,Prisma,ORM pour PostgreSQL,Prisma client avec migrations,INTÉGRÉ,,Schema aligné avec DB,100%,2026-04-02
SYSTÈME & ARCHITECTURE,Base de données,Supabase PostgreSQL,PostgreSQL avec Auth,Supabase + RLS policies,INTÉGRÉ,,RLS policies en place (à renforcer),85%,2026-04-02
SYSTÈME & ARCHITECTURE,Déploiement,Vercel,Déploiement CI/CD,Vercel configuré avec GitHub,INTÉGRÉ,,Prêt pour déploiement,95%,2026-04-02

DOMAINES SCORING,D1,Project Fundamentals,Solidité du sponsor + structure du projet + permis/terres,Poids: 10%. 3 sous-domaines: Sponsor (35%), Structure (35%), Permis (30%),INTÉGRÉ,,Tous les critères définis dans scoring-model-v7-config.ts,100%,2026-04-02
DOMAINES SCORING,D1.1,Sponsor Strength,Solidité financière + expérience + engagement,3 critères × 4 niveaux (2,4,6,8,10),INTÉGRÉ,,Financial Solidity (10/8/6/4), Sector Experience, Engagement,100%,2026-04-02
DOMAINES SCORING,D1.2,Project Structure,SPV + contrats clés + allocation des risques,3 critères: SPV (10/8/6/4), Key Contracts, Risk Allocation,INTÉGRÉ,,Seuils NO-GO: 2, RedFlag: 4,100%,2026-04-02
DOMAINES SCORING,D1.3,Permits & Land,Permis + sécurité terrains + risques socio-env,3 critères: Permits (10/8/6/4), Land Security, Social&Env Risk,INTÉGRÉ,,Thresholds: NOGO=2, RedFlag=4,100%,2026-04-02
DOMAINES SCORING,D2,Host Country,Risque pays + réglementation + FX + support souverain,Poids: 10%. Sous-domaines à compléter,EN COURS,,Configuration minimale en place,30%,2026-04-02
DOMAINES SCORING,D3,Construction Phase,Risque construction + EPC + assurance,Poids: 15%. Critères définis,INTÉGRÉ,,NO-GO rules: insolvency EPC, pas de garanties,100%,2026-04-02
DOMAINES SCORING,D4,Market Risk,Stabilité des revenus + offtake + exposition marché,Poids: 10%. Critères définis,INTÉGRÉ,,NO-GO: pas de contrat offtake, PPA < 15 ans,100%,2026-04-02
DOMAINES SCORING,D5,Operational Risk,O&M + fiabilité technologie + maintenance,Poids: 10%. Critères définis,INTÉGRÉ,,Thresholds adaptés à la technologie,100%,2026-04-02
DOMAINES SCORING,D6,Counterparty Risk,EPC contractor + O&M operator + offtaker quality,Poids: 10%. 3 catégories NPOs,INTÉGRÉ,,Qualité des contreparties = clé,100%,2026-04-02
DOMAINES SCORING,D7,Financial Structure,DSCR + LLCR + leverage + hedging,Poids: 15%. Critères financiers,INTÉGRÉ,,DSCR >1.2, LLCR >1.4 (seuils standards),100%,2026-04-02
DOMAINES SCORING,D8,Legal & Documentation,Package légal + covenants + step-in rights,Poids: 10%. Critères définissant la solidité légale,INTÉGRÉ,,NO-GO: Step-in rights < 15 jours, Missing covenants,100%,2026-04-02
DOMAINES SCORING,D9,ESG & Climate,Environnemental + social + gouvernance + climate risk,Poids: 10%. 4 critères ESG,INTÉGRÉ,,AJOUT: Climate risk & carbon reduction tracking,115%,2026-04-02

